,area,bbox,centroid,convex_area,convex_image,coords,eccentricity,equivalent_diameter,euler_number,extent,image,label,major_axis_length,max_intensity,mean_intensity,min_intensity,minor_axis_length,orientation,perimeter,solidity,weighted_centroid,slope max_intensity,slope mean_intensity,slope min_intensity,slope weighted_centroid,wslope max_intensity,wslope mean_intensity,wslope min_intensity,wslope weighted_centroid,moments_hu0,weighted_moments_hu0,slope weighted_moments_hu0,wslope weighted_moments_hu0,moments_hu1,weighted_moments_hu1,slope weighted_moments_hu1,wslope weighted_moments_hu1,moments_hu2,weighted_moments_hu2,slope weighted_moments_hu2,wslope weighted_moments_hu2,moments_hu3,weighted_moments_hu3,slope weighted_moments_hu3,wslope weighted_moments_hu3,moments_hu4,weighted_moments_hu4,slope weighted_moments_hu4,wslope weighted_moments_hu4,moments_hu5,weighted_moments_hu5,slope weighted_moments_hu5,wslope weighted_moments_hu5,moments_hu6,weighted_moments_hu6,slope weighted_moments_hu6,wslope weighted_moments_hu6
drift_0,190,"(25, 765, 40, 780)","(31.126315789473686, 772.27894736842109)",192,"[[False  True  True ...,  True  True  True]
 [ True  True  True ...,  True  True  True]
 [ True  True  True ...,  True  True  True]
 ..., 
 [False False False ...,  True False False]
 [False False False ..., False False False]
 [False False False ..., False False False]]","[[ 25 766]
 [ 25 767]
 [ 25 768]
 ..., 
 [ 39 773]
 [ 39 774]
 [ 39 775]]",0.292681688775455,15.553633450087505,1,0.844444444444,"[[False  True  True ...,  True  True  True]
 [False  True  True ...,  True  True  True]
 [ True  True  True ...,  True  True  True]
 ..., 
 [False False False ...,  True False False]
 [False False False ..., False False False]
 [False False False ..., False False False]]",1,16.136333955459445,0.924282,0.739301,0.568546,15.429722752091775,-0.6764721149070163,49.5563491861,0.989583333333,"(30.92099592254003, 772.23960697519772)",5.90368,3.98584,2.40441,"(31.329672274110294, 772.09615872684196)",3.29084,2.83668,2.14192,"(31.197777511704096, 772.19515386307489)",0.16396632162122765,0.21284824132716101,0.04179932540057686,0.057870952136588355,5.383373785688031e-05,5.395459954961129e-05,2.949100460728883e-08,1.0202342334831106e-05,0.0004074367902661297,0.0007914259034529545,6.967399781016909e-06,1.8056148546774492e-05,7.17181444557248e-07,5.090423922369364e-06,2.9484344696925744e-07,1.9314916496967267e-07,-1.0550838367213138e-11,1.1335113956380426e-10,3.910604539166973e-13,7.86850686362998e-14,-1.7876359023673779e-09,3.658607276130449e-08,-7.773305975306621e-13,-5.43826553006814e-10,6.243059637845216e-12,3.0256354052523595e-10,1.6017740257437743e-13,3.5201782193330523e-13
drift_1,4833,"(25, 901, 198, 1091)","(107.99772398096421, 1003.2919511690461)",7644,"[[False False False ..., False False False]
 [False False False ..., False False False]
 [False False False ...,  True False False]
 ..., 
 [ True  True  True ..., False False False]
 [ True  True  True ..., False False False]
 [ True  True  True ..., False False False]]","[[  25 1086]
 [  26 1085]
 [  26 1086]
 ..., 
 [ 197  901]
 [ 197  902]
 [ 197  903]]",0.9878645739210802,78.44467298488178,0,0.147033769395,"[[False False False ..., False False False]
 [False False False ..., False False False]
 [False False False ...,  True False False]
 ..., 
 [ True  True  True ..., False False False]
 [ True  True  True ..., False False False]
 [ True  True  True ..., False False False]]",2,232.79980032889716,1.20053,0.797111,0.439786,36.15792629383817,0.7218211106356068,652.086399182,0.632260596546,"(107.07273124271386, 1004.6967803295447)",9.17049,3.81962,0.354642,"(103.92768000498442, 1006.8517251139726)",4.82598,3.05922,1.27122,"(106.93072351638305, 1003.4510496793697)",0.7177625525947265,0.8492789502621805,0.1710540516077558,0.19516907435038644,0.46778522854878585,0.6536986891189481,0.026211983123115103,0.03382545936641728,0.020941018089133637,0.028631287553475607,0.00021120434597704497,0.00046199497178362446,0.016054602220667832,0.021031337654448423,0.00012616800594842916,0.00031302983633104217,0.0002943647932887536,0.0005160743929712663,2.053811071939655e-08,1.190033623387474e-07,0.010895664411499443,0.016806620502666576,1.8969115019196106e-05,5.6123803370477284e-05,-2.220365920207779e-06,-3.2237088388594685e-06,1.5383041158488248e-09,3.000408085617228e-09
drift_2,5248,"(43, 465, 228, 526)","(124.78963414634147, 492.43044969512198)",6973,"[[False False False ..., False False False]
 [False False False ..., False False False]
 [False False False ..., False False False]
 ..., 
 [False False False ..., False False False]
 [False False False ..., False False False]
 [False False False ..., False False False]]","[[ 43 491]
 [ 43 492]
 [ 43 493]
 ..., 
 [227 487]
 [227 488]
 [227 489]]",0.9814703911061795,81.74326351920466,1,0.465042091272,"[[False False False ..., False False False]
 [False False False ..., False False False]
 [False False False ..., False False False]
 ..., 
 [False False False ..., False False False]
 [False False False ..., False False False]
 [False False False ..., False False False]]",3,200.3258709430569,1.10737,0.780552,0.461091,38.38521340901164,1.3615684835602204,462.492424049,0.752617237918,"(123.39893841536204, 492.43728975009708)",7.7453,3.23141,0.248601,"(120.84704196637871, 492.36453624861394)",4.97245,2.74377,1.09819,"(119.8983386503979, 492.59573797269354)",0.4954730275527541,0.6174790663005938,0.15534144518561022,0.1891142848271602,0.2119480131606749,0.3296550996262274,0.020747241154317076,0.031202014515709853,0.005715169858374708,0.012928632228513835,0.0003282244548930592,0.00044501006902835413,0.0022879894728669377,0.006810874268716938,0.0002205481313521201,0.0003063615689898011,7.776441818513927e-06,6.276490995263678e-05,5.9098239550356876e-08,1.1270191950790552e-07,0.0007142341498683144,0.0031228187983324985,2.895318289408371e-05,4.880060044812563e-05,2.8248453431159528e-06,1.2053030170222773e-05,5.3404274998345465e-09,9.707317098285571e-09
drift_3,1199,"(195, 838, 268, 891)","(230.92326939115929, 864.75145954962466)",1641,"[[False False False ..., False False False]
 [False False False ..., False False False]
 [False False False ...,  True False False]
 ..., 
 [False False False ..., False False False]
 [False False False ..., False False False]
 [False False False ..., False False False]]","[[195 883]
 [195 884]
 [195 885]
 ..., 
 [266 847]
 [267 844]
 [267 845]]",0.9771622933821303,39.07191080734931,1,0.309899198759,"[[False False False ..., False False False]
 [False False False ..., False False False]
 [False False False ...,  True False False]
 ..., 
 [False False False ..., False False False]
 [False False False ..., False False False]
 [False False False ..., False False False]]",4,90.26002065828646,0.874923,0.66886,0.486932,19.17974518752248,0.91833881837174,213.444696834,0.730652041438,"(231.17379100867143, 864.61159180351638)",4.54835,2.43157,0.531341,"(231.5387814825342, 864.11803379275989)",2.88933,2.24413,1.43868,"(230.78299367547021, 864.84696483567961)",0.44384559813868807,0.6659067250225683,0.18589394314035662,0.1993291019871959,0.16442588320050783,0.37087977901464586,0.028985385262463543,0.03326084799437205,0.00021630687275057487,0.000953864340654687,3.5107747781004485e-06,9.291243740105557e-06,9.95884548245772e-05,0.0005561063380450306,8.9093590347191e-07,1.9436695900192147e-06,1.4593418754088245e-08,4.050231979586823e-07,1.4833009898394674e-12,7.711714989281618e-12,3.915651094065925e-05,0.0003331952442956442,1.2803132876289644e-07,2.976172734979985e-07,-8.242426681510699e-10,-3.641537120791466e-10,-5.316217551337181e-13,-2.958729353321966e-12
drift_4,73,"(228, 475, 239, 486)","(232.73972602739727, 480.16438356164383)",80,"[[ True  True  True ..., False False False]
 [ True  True  True ..., False False False]
 [ True  True  True ...,  True False False]
 ..., 
 [False False False ...,  True  True False]
 [False False False ...,  True False False]
 [False False False ..., False False False]]","[[228 475]
 [229 475]
 [229 476]
 ..., 
 [237 483]
 [238 481]
 [238 482]]",0.7483295227983352,9.640875829802336,1,0.603305785124,"[[ True False False ..., False False False]
 [ True  True False ..., False False False]
 [ True  True  True ...,  True False False]
 ..., 
 [False False False ...,  True  True False]
 [False False False ...,  True False False]
 [False False False ..., False False False]]",5,12.238623099908244,0.895076,0.684806,0.541604,8.11821114113184,-0.6801365010302726,33.7989898732,0.9125,"(232.80938906101449, 480.20925246480851)",5.00739,2.56139,0.985538,"(233.32130089848832, 479.83154063775896)",2.56672,1.8303,0.851293,"(232.49907309798263, 479.71222460518726)",0.1846654516383603,0.2587173441660535,0.06554763861609933,0.10265693829920704,0.0051572249261681346,0.009949006489945698,0.0007269833959772519,0.0017461237071134702,0.000987203130677332,0.002975657273774048,2.233814422679005e-05,0.00017079385815735367,9.706502925434929e-05,0.0004008108889202241,4.328135494404305e-06,2.0093893936921146e-06,2.7523201594242217e-08,4.2879023299797465e-07,-3.7216673936881506e-11,-3.5032067256240616e-11,5.199484877978769e-06,3.310394397297944e-05,1.0066569518958806e-08,-8.257369315508179e-08,1.2053228740406662e-08,8.798611447082707e-08,-2.0640959891508643e-11,-1.258727228338497e-11
drift_5,1465,"(772, 1070, 883, 1157)","(829.22798634812284, 1117.9276450511945)",2983,"[[False False False ..., False False  True]
 [False False False ..., False  True  True]
 [False False False ...,  True  True  True]
 ..., 
 [False False False ..., False False False]
 [False False False ..., False False False]
 [False False False ..., False False False]]","[[ 772 1156]
 [ 773 1155]
 [ 773 1156]
 ..., 
 [ 882 1087]
 [ 882 1088]
 [ 882 1089]]",0.9895073053561412,43.18907191682884,1,0.151703427565,"[[False False False ..., False False  True]
 [False False False ..., False  True  True]
 [False False False ...,  True  True  True]
 ..., 
 [False False False ..., False False False]
 [False False False ..., False False False]
 [False False False ..., False False False]]",6,150.7689242232014,1.03251,0.696203,0.503096,21.783523186334186,0.8204434579214243,338.776695297,0.491116325846,"(828.43377013932377, 1118.7269585345741)",7.04746,3.02749,0.273163,"(821.84794946275724, 1122.9159324141356)",4.30467,2.40336,0.880481,"(823.32215406408852, 1122.2676321679037)",0.9900081226037121,1.4296710263396624,0.32422977443177214,0.40015441955587316,0.9015880545129239,1.8847449364708229,0.09757096794931659,0.14787699378709768,0.0032968492770093978,0.015368189951129993,0.0025538174920072027,0.0034490328200445673,0.0004635761491384692,0.00750245061013135,0.002359214328984207,0.0028217778265401472,-9.884203953511485e-08,7.819700102529077e-05,5.790888582652902e-06,8.799993048673203e-06,-0.0002355227634161833,0.007255799390834743,0.0007204196325497811,0.0010377989025033832,-5.645130784069709e-07,-1.936599110426395e-05,-1.1221856846078844e-08,-2.317576007101613e-07
drift_6,154,"(829, 902, 852, 913)","(840.2532467532468, 905.86363636363637)",190,"[[False False False ..., False False False]
 [False False  True ..., False False False]
 [False False  True ..., False False False]
 ..., 
 [False  True  True ..., False False False]
 [False False  True ..., False False False]
 [False False  True ..., False False False]]","[[829 905]
 [829 906]
 [830 905]
 ..., 
 [851 905]
 [851 906]
 [851 907]]",0.9251944913661794,14.002817212590296,1,0.608695652174,"[[False False False ..., False False False]
 [False False False ..., False False False]
 [False False  True ..., False False False]
 ..., 
 [False  True  True ..., False False False]
 [False False  True ..., False False False]
 [False False  True ..., False False False]]",7,23.63171069575343,0.810045,0.67026,0.584743,8.96807551542512,1.5497771552281694,57.4203102168,0.810526315789,"(840.20172827535612, 905.84355450968053)",5.68246,3.46378,1.00121,"(839.88733490174286, 905.50489770714478)",4.10594,3.38758,2.80751,"(840.3955668739917, 905.95765383940272)",0.2592873899586666,0.38483055408790445,0.07732148147604206,0.07639472844943633,0.03763842062312441,0.08428784632025024,0.0033408597705429106,0.0033101065556121827,2.9918845468398383e-05,5.9580016343161405e-05,3.6513505530178546e-07,5.718474480926543e-07,4.73601352775411e-06,4.693037398296685e-06,9.216839544354169e-07,1.813188553140091e-07,-3.2218669739566146e-11,2.1760539689463686e-11,4.813468130902647e-13,7.417841491884725e-15,4.474608361507349e-07,-1.286222360413516e-06,-1.662531779904593e-08,9.298552589564909e-09,-4.626202499361329e-11,7.539764414567013e-11,2.3279963677587963e-13,-5.791230492855033e-14
drift_7,118,"(844, 691, 859, 705)","(851.38135593220341, 697.59322033898309)",136,"[[False False False ..., False False False]
 [False False False ..., False False False]
 [False False  True ..., False False False]
 ..., 
 [False False False ...,  True  True  True]
 [False False False ...,  True  True  True]
 [False False False ...,  True  True False]]","[[844 695]
 [844 696]
 [844 697]
 ..., 
 [858 701]
 [858 702]
 [858 703]]",0.8586866872443626,12.257335203001883,1,0.561904761905,"[[False False False ..., False False False]
 [False False False ..., False False False]
 [False False  True ..., False False False]
 ..., 
 [False False False ...,  True  True  True]
 [False False False ...,  True  True  True]
 [False False False ...,  True  True False]]",8,17.58107045413306,0.737297,0.64714,0.567642,9.01031444182969,-0.9481062015668712,44.627416998,0.867647058824,"(851.40739570368567, 697.6206568344154)",3.80587,2.45273,1.34181,"(851.48138504805434, 697.68051521699499)",2.98866,2.50925,2.18722,"(851.48487579259188, 697.74307427945394)",0.20671599822766684,0.32369686739461745,0.0846239595070141,0.08292575876113278,0.014571900482505437,0.03635793189943172,0.002502564333804256,0.0023633572941271436,0.00015813935546385105,0.0006333206434934931,6.43894953482626e-06,5.62915663185662e-06,1.1317759473690397e-05,3.11040069496737e-05,6.180798386307257e-07,4.561611920682876e-08,4.5148900533036474e-10,4.050728466305283e-09,1.0141050763829923e-13,2.2441066738644116e-14,1.3505872370604117e-06,5.853405562509211e-06,2.619939681255231e-08,-1.0450345643604403e-09,-1.5941772995738575e-10,-1.627696075511164e-09,1.2288547618713545e-12,-5.542086131247832e-15
drift_8,260,"(890, 1007, 918, 1028)","(903.25769230769231, 1016.1923076923077)",357,"[[False False False ..., False False False]
 [False False False ..., False False False]
 [False False False ...,  True  True False]
 ..., 
 [ True  True  True ..., False False False]
 [False  True  True ..., False False False]
 [False False False ..., False False False]]","[[ 890 1013]
 [ 890 1014]
 [ 890 1015]
 ..., 
 [ 917 1012]
 [ 917 1013]
 [ 917 1014]]",0.9287074653632088,18.19456736586892,1,0.442176870748,"[[False False False ..., False False False]
 [False False False ..., False False False]
 [False False False ...,  True  True False]
 ..., 
 [ True  True  True ..., False False False]
 [False  True  True ..., False False False]
 [False False False ..., False False False]]",9,34.03509558936324,0.792888,0.675844,0.567333,12.620663372523298,1.102012298949054,87.2548339959,0.728291316527,"(903.30440169351198, 1016.1990535010079)",5.34498,2.7038,0.290651,"(902.51456959229711, 1015.5428726115266)",3.24869,2.49898,1.60268,"(902.66101739250882, 1016.3688964180251)",0.31674732589895294,0.46616480023800877,0.11747316276109526,0.12389590149192639,0.05768155821320364,0.12688150337399096,0.008503732144938962,0.008547584886938336,0.0014937201605664835,0.004327718726720275,9.168612678107911e-05,0.0001689074998296352,3.9445099026219014e-05,7.217258740106648e-05,6.803121061639202e-06,1.544094117364479e-05,-2.103630293100274e-09,-2.2342115665584173e-08,1.6268179576134402e-10,6.497280928418436e-10,3.897785456948151e-06,5.476440349800375e-06,5.781314326243993e-07,1.3652174703823752e-06,-9.340728388039311e-09,-3.358252571181762e-08,4.90244797157233e-11,-4.4685719782097345e-10
drift_9,90,"(916, 1065, 932, 1079)","(924.32222222222219, 1073.0222222222221)",125,"[[False False False ...,  True False False]
 [False False False ...,  True  True False]
 [False False False ...,  True  True  True]
 ..., 
 [ True  True  True ..., False False False]
 [ True  True  True ..., False False False]
 [ True  True  True ..., False False False]]","[[ 916 1076]
 [ 917 1075]
 [ 917 1076]
 ..., 
 [ 930 1067]
 [ 931 1065]
 [ 931 1066]]",0.91364955361316,10.704744696916627,1,0.401785714286,"[[False False False ...,  True False False]
 [False False False ...,  True  True False]
 [False False False ...,  True  True False]
 ..., 
 [ True  True  True ..., False False False]
 [ True  True  True ..., False False False]
 [ True  True False ..., False False False]]",10,19.884520539862084,0.964604,0.74997,0.584501,8.083112463484186,0.7410920140991186,47.3847763109,0.72,"(924.45827373232885, 1072.7737129525431)",9.9533,3.73901,0.655451,"(925.43895226064819, 1071.2621321071686)",2.32686,1.64662,0.963774,"(924.44558269837262, 1072.8334914656505)",0.3199519890260629,0.4372584867818199,0.08915031414487576,0.19269693575820285,0.05253564829397807,0.10312488683643503,0.00466658643047976,0.018018409376248247,0.015277447271980512,0.03480740856592752,0.00011477212503766365,0.0034871054281489337,0.003443169439390177,0.007227210383387656,1.0574256875515351e-05,0.000647698800281414,1.8994191923059677e-05,8.232306938085644e-05,1.0169028572077323e-10,6.805213570303561e-07,0.0003855320176650707,0.0010368413986740009,-3.6571926690472823e-07,3.4414119152858464e-05,-1.621262495116627e-05,-7.976566808988884e-05,3.540635615048849e-10,-6.959898636950195e-07
